normalized_name,count,examples
당기손익공정가치측정금융자산의증가,1,당기손익-공정가치측정금융자산의 증가
비지배지분에의한유상증자,1,비지배지분에 의한 유상증자
리스부채의원금상환,1,리스부채의 원금 상환
주식발행비용,1,주식발행비용
당기말현금및현금성자산,1,당기말 현금및현금성자산
선급금,1,선급금
장기성매출채권,1,장기성매출채권
공동기업및관계기업투자,1,공동기업 및 관계기업투자
유형자산및사용권자산,1,유형자산 및 사용권자산
비유동선수금,1,비유동 선수금
공동기업및관계기업투자손익,1,공동기업 및 관계기업투자손익
금융손익,1,금융손익
기타손익,1,기타손익
비지배지분순이익,1,비지배지분순이익
관계기업의재측정요소등,1,관계기업의 재측정요소 등
부의지분법자본변동,1,부의지분법자본변동
배당금수취,1,배당금수취
법인세부담액,1,법인세 부담액
기타비유동금융자산의감소,1,기타비유동금융자산의 감소
기타비유동금융자산의증가,1,기타비유동금융자산의 증가
공동기업및관계기업에대한투자자산의취득,1,공동기업 및 관계기업에 대한 투자자산의 취득
재무활동으로인한현금유입,1,재무활동으로 인한 현금유입
종속기업증자,1,종속기업 증자
기타재무활동으로인한현금유입,1,기타재무활동으로 인한 현금유입
재무활동으로인한현금유출,1,재무활동으로 인한 현금유출
현금의기타유출,1,현금의기타유출
외화표시현금및현금성자산의환율변동효과,1,외화표시 현금및현금성자산의 환율변동효과
단기금융자산,1,단기금융자산
장기금융자산,1,장기금융자산
장기기타수취채권,1,장기기타수취채권
단기금융부채,1,단기금융부채
장기금융부채,1,장기금융부채
장기기타지급채무,1,장기기타지급채무
초인플레이션으로인한순화폐성항목발생손익,1,초인플레이션으로 인한 순화폐성 항목 발생 손익
계속영업당기순이익,1,계속영업당기순이익
중단영업순이익,1,중단영업순이익
중단영업이익,1,중단영업이익
기타포괄손익관련법인세효과,1,기타포괄손익관련 법인세효과
세후총포괄이익,1,세후총포괄이익
투자활동으로인한현금흐름,1,투자활동으로 인한 현금흐름
배당의수취,1,배당의 수취
단기금융자산의감소,1,단기금융자산의 감소
장기금융자산의감소,1,장기금융자산의 감소
장기기타수취채권의감소,1,장기기타수취채권의 감소
매각예정비유동자산의처분,1,매각예정비유동자산의 처분
단기금융자산의증가,1,단기금융자산의 증가
장기금융자산의증가,1,장기금융자산의 증가
장기기타수취채권의증가,1,장기기타수취채권의 증가
종속기업및관계기업투자의증가,1,종속기업 및 관계기업투자의 증가
기타유형자산의취득,1,기타유형자산의 취득
국고보조금의상환,1,국고보조금의 상환
단기금융부채의증가,1,단기금융부채의 증가
공급자금융약정단기금융부채의증가,1,공급자금융약정 단기금융부채의 증가
장기금융부채의증가,1,장기금융부채의 증가
보통주의발행,1,보통주의 발행
배당의지급,1,배당의 지급
단기금융부채의감소,1,단기금융부채의 감소
공급자금융약정단기금융부채의감소,1,공급자금융약정 단기금융부채의 감소
유동성장기금융부채의감소,1,유동성장기금융부채의 감소
리스부채의감소,1,리스부채의 감소
신주발행비,1,신주발행비
종속기업의자기주식취득,1,종속기업의 자기주식취득
비지배지분과의거래,1,비지배지분과의 거래
기초의현금및현금성자산,1,기초의 현금및현금성자산
기말의현금및현금성자산,1,기말의 현금및현금성자산
예치금,1,예치금
상각후원가금융자산,1,상각후원가 금융자산
파생상품자산유동,1,파생상품자산(유동)
미수법인세,1,미수법인세
보험계약자산,1,보험계약자산
비유동상각후원가금융자산,1,비유동상각후원가 금융자산
퇴직연금운용자산,1,퇴직연금운용자산
비유동보험계약자산,1,비유동보험계약자산
예수부채,1,예수부채
유동파생상품부채,1,유동파생상품부채
단기리스부채,1,단기리스부채
보험계약부채,1,보험계약부채
매각예정부채,1,매각예정부채
비유동매입채무및기타채무,1,비유동매입채무및기타채무
장기리스부채,1,장기리스부채
기타장기종업원급여부채,1,기타장기종업원급여부채
비유동보험계약부채,1,비유동보험계약부채
자본조정,1,자본조정
기타금융수익,1,기타금융수익
기타포괄손익보험계약자산부채순금융손익,1,기타포괄손익-보험계약자산(부채) 순금융손익
총포괄이익,1,총포괄이익
영업으로부터창출된현금흐름,1,영업으로부터 창출된 현금흐름
법인세납부,1,법인세 납부
단기금융상품의증감,1,단기금융상품의 증감
장기금융상품의증감,1,장기금융상품의 증감
종속기업취득및연결범위변동으로인한순현금흐름,1,종속기업 취득 및 연결범위변동으로 인한 순현금흐름
종속기업처분및연결범위변동으로인한순현금흐름,1,종속기업 처분 및 연결범위변동으로 인한 순현금흐름
기타유동금융자산의증감,1,기타유동금융자산의 증감
기타비유동금융자산의증감,1,기타비유동금융자산의 증감
기타투자활동으로인한현금흐름,1,기타투자활동으로 인한 현금흐름
금융리스부채의지급,1,금융리스부채의 지급
현금배당,1,현금배당
기타재무활동으로인한현금흐름,1,기타재무활동으로 인한 현금흐름
매각예정자산집단에포함된현금및현금성자산,1,매각예정자산집단에 포함된 현금및현금성자산
기타채권,1,기타채권
지분법적용투자주식,1,지분법적용 투자주식
금융부채,1,금융부채
비유동금융부채,1,비유동금융부채
장기선수금,1,장기선수금
이익잉여금결손금,1,이익잉여금(결손금)
매각예정분류기타포괄손익누계액,1,매각예정분류 기타포괄손익누계액
연구개발비,1,연구개발비
영업손실,1,영업손실
지분법이익손실,1,지분법이익(손실)
법인세비용차감전순손실,1,법인세비용차감전순손실
법인세수익비용,1,법인세수익(비용)
당기순손실,1,당기순손실
이자의수령,1,이자의 수령
금융기관예치금의증가,1,금융기관예치금의 증가
금융기관예치금의감소,1,금융기관예치금의 감소
지분법적용투자주식의처분,1,지분법적용투자주식의 처분
보험금의수령,1,보험금의 수령
정부보조금의수령,1,정부보조금의 수령
단기대여금의대여,1,단기대여금의 대여
단기대여금의회수,1,단기대여금의 회수
장기대여금의대여,1,장기대여금의 대여
보증금의증가,1,보증금의 증가
온실가스배출권의처분,1,온실가스배출권의 처분
신주발행비용,1,신주발행비용
종속기업의비지배주주지분취득,1,종속기업의 비지배주주지분 취득
종속기업의비지배주주배당,1,종속기업의 비지배주주배당
현금및현금성자산의환율변동으로인한효과,1,현금및현금성자산의 환율변동으로 인한 효과
매각예정집단에포함된현금및현금성자산,1,매각예정집단에 포함된 현금및현금성자산
기타유동채권,1,기타 유동채권
단기미청구공사,1,단기미청구공사
법인세자산,1,법인세자산
매각예정처분집단의자산,1,매각예정처분집단의자산
장기미수채권,1,장기미수채권
장기성기타채권,1,장기성기타채권
기타포괄손익인식금융자산,1,기타포괄손익인식금융자산
지분법적용투자지분,1,지분법적용 투자지분
기타채무,1,기타채무
공사및분양선수금,1,공사및분양선수금
초과청구공사,1,초과청구공사
법인세부채,1,법인세부채
유동충당부채,1,유동충당부채
기타금융부채유동,1,기타금융부채(유동)
유동리스부채,1,유동 리스부채
장기성기타채무,1,장기성기타채무
기타금융부채비유동,1,기타금융부채(비유동)
기타불입자본,1,기타불입자본
기타손실,1,기타손실
당기손익으로재분류되지않는항목세후기타포괄손익,1,당기손익으로 재분류되지 않는항목(세후기타포괄손익)
지분법적용대상관계기업과공동기업의기타포괄손익에대한지분세후기타포괄손익,1,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익)
확정급여제도의재측정손익세후기타포괄손익,1,확정급여제도의 재측정손익(세후기타포괄손익)
해외사업장환산외환차이세후기타포괄손익,1,해외사업장환산외환차이(세후기타포괄손익)
당기순이익의귀속,1,당기순이익의 귀속
비지배지분에귀속되는당기순이익손실,1,비지배지분에 귀속되는 당기순이익(손실)
당기포괄이익의귀속,1,당기포괄이익의 귀속
포괄손익지배기업의소유주에게귀속되는지분,1,"포괄손익, 지배기업의 소유주에게 귀속되는 지분"
포괄손익비지배지분,1,"포괄손익, 비지배지분"
우선주기본주당순이익손실,1,우선주기본주당순이익(손실)
영업에서창출된현금,1,영업에서 창출된 현금
배당금수취영업,1,배당금수취(영업)
이자지급영업,1,이자지급(영업)
법인세납부영업활동,1,"법인세 납부, 영업활동"
기타채권의감소,1,기타채권의 감소
장기성기타채권의감소,1,장기성기타채권의 감소
공정가치측정금융자산의처분,1,공정가치측정금융자산의 처분
상각후원가측정금융자산의처분,1,상각후원가측정금융자산의처분
관계기업에대한투자자산의처분,1,관계기업에 대한 투자자산의 처분
매각예정으로분류된비유동자산이나처분자산집단의처분,1,매각예정으로 분류된 비유동자산이나 처분자산집단의 처분
파생상품자산의처분,1,파생상품자산의 처분
종속기업과기타사업의지배력상실에따른현금흐름,1,종속기업과 기타 사업의 지배력 상실에 따른 현금흐름
기타채권의증가,1,기타채권의 증가
장기성기타채권의증가,1,장기성기타채권의 증가
공정가치측정금융자산의취득,1,공정가치측정금융자산의 취득
상각후원가측정금융자산의취득,1,상각후원가측정금융자산의취득
관계기업에대한투자자산의취득,1,관계기업에 대한 투자자산의 취득
파생상품자산의취득,1,파생상품자산의 취득
투자부동산의취득,1,투자부동산의 취득
사용권자산의추가,1,사용권자산의 추가
종속기업과기타사업의지배력획득에따른현금흐름,1,종속기업과 기타 사업의 지배력 획득에 따른 현금흐름
유동성장기부채의상환,1,유동성장기부채의 상환
사채발행비용,1,사채발행비용
